output-path,option-source_path,option-expected_type,option-relevant_ctx,option-error_rounds_max,option-rag,option-temperature,start-time,tests-total,tests-pass,tests-indet,derived-time-elapsed,derived-percent-tests,derived-err-rounds-used,derived-total-tokens-used,derived-final-parses,derived-final-static-errors,derived-err-improve
full-prelude-4-2024-04-06T04:15:30.027Z,testdata/passwords2/,false,false,0,true,0.6,1712376930.1,12,1,11,11.4,8.3,0,2412,true,11,0.0
full-prelude-4-2024-04-06T04:15:22.422Z,testdata/passwords2/,false,false,0,true,0.6,1712376922.4,12,12,0,6.9,100.0,0,2364,true,0,nan
full-prelude-4-2024-04-06T04:15:11.467Z,testdata/passwords2/,false,false,0,true,0.6,1712376911.5,12,12,0,10.3,100.0,0,2431,true,0,nan
full-prelude-4-2024-04-06T04:15:00.856Z,testdata/passwords2/,false,false,0,true,0.6,1712376900.9,12,1,11,9.8,8.3,0,2404,true,9,0.0
full-prelude-4-2024-04-06T04:14:39.412Z,testdata/passwords2/,false,false,0,true,0.6,1712376879.5,12,12,0,20.6,100.0,0,2431,true,0,nan
full-prelude-4-2024-04-06T04:14:19.369Z,testdata/passwords2/,false,false,0,true,0.6,1712376859.4,12,0,12,19.2,0.0,0,2472,true,2,0.0
full-prelude-4-2024-04-06T04:14:06.071Z,testdata/passwords2/,false,false,0,true,0.6,1712376846.1,12,12,0,12.6,100.0,0,2417,true,0,nan
full-prelude-4-2024-04-06T04:13:57.714Z,testdata/passwords2/,false,false,0,true,0.6,1712376837.7,12,1,11,7.5,8.3,0,2374,true,0,nan
full-prelude-4-2024-04-06T04:13:45.899Z,testdata/passwords2/,false,false,0,true,0.6,1712376825.9,12,12,0,11.1,100.0,0,2376,true,0,nan
full-prelude-4-2024-04-06T04:13:23.641Z,testdata/passwords2/,false,false,0,true,0.6,1712376803.7,0,0,0,21.2,nan,0,2469,true,0,nan
full-prelude-4-2024-04-06T04:13:11.718Z,testdata/passwords2/,false,false,2,true,0.6,1712376791.8,12,1,11,11.0,8.3,0,2395,true,0,nan
full-prelude-4-2024-04-06T04:12:57.563Z,testdata/passwords2/,false,false,2,true,0.6,1712376777.6,12,12,0,13.4,100.0,0,2441,true,0,nan
full-prelude-4-2024-04-06T04:12:51.045Z,testdata/passwords2/,false,false,2,true,0.6,1712376771.1,12,12,0,5.6,100.0,0,2348,true,0,nan
full-prelude-4-2024-04-06T04:12:41.853Z,testdata/passwords2/,false,false,2,true,0.6,1712376761.9,12,12,0,8.4,100.0,0,2404,true,0,nan
full-prelude-4-2024-04-06T04:12:32.205Z,testdata/passwords2/,false,false,2,true,0.6,1712376752.2,12,12,0,8.9,100.0,0,2400,true,0,nan
full-prelude-4-2024-04-06T04:12:07.868Z,testdata/passwords2/,false,false,2,true,0.6,1712376727.9,12,12,0,23.6,100.0,1,5278,true,0,-100.0
full-prelude-4-2024-04-06T04:11:59.215Z,testdata/passwords2/,false,false,2,true,0.6,1712376719.2,12,12,0,8.0,100.0,0,2380,true,0,nan
full-prelude-4-2024-04-06T04:11:48.864Z,testdata/passwords2/,false,false,2,true,0.6,1712376708.9,12,12,0,9.6,100.0,0,2371,true,0,nan
full-prelude-4-2024-04-06T04:11:25.205Z,testdata/passwords2/,false,false,2,true,0.6,1712376685.2,12,12,0,23.0,100.0,0,2470,true,0,nan
full-prelude-4-2024-04-06T04:11:16.713Z,testdata/passwords2/,false,false,2,true,0.6,1712376676.8,12,12,0,7.7,100.0,0,2359,true,0,nan
full-prelude-4-2024-04-06T04:11:05.333Z,testdata/emojipaint1/,false,false,0,true,0.6,1712376665.4,10,10,0,10.5,100.0,0,2108,true,0,nan
full-prelude-4-2024-04-06T04:10:55.472Z,testdata/emojipaint1/,false,false,0,true,0.6,1712376655.5,10,10,0,9.1,100.0,0,2108,true,0,nan
full-prelude-4-2024-04-06T04:10:48.458Z,testdata/emojipaint1/,false,false,0,true,0.6,1712376648.5,10,10,0,6.2,100.0,0,2109,true,0,nan
full-prelude-4-2024-04-06T04:10:38.803Z,testdata/emojipaint1/,false,false,0,true,0.6,1712376638.9,10,10,0,8.8,100.0,0,2108,true,0,nan
full-prelude-4-2024-04-06T04:10:30.402Z,testdata/emojipaint1/,false,false,0,true,0.6,1712376630.4,10,10,0,7.4,100.0,0,2104,true,0,nan
full-prelude-4-2024-04-06T04:10:20.403Z,testdata/emojipaint1/,false,false,0,true,0.6,1712376620.4,10,0,10,9.3,0.0,0,2116,true,16,0.0
full-prelude-4-2024-04-06T04:10:12.569Z,testdata/emojipaint1/,false,false,0,true,0.6,1712376612.6,10,10,0,7.1,100.0,0,2108,true,0,nan
full-prelude-4-2024-04-06T04:10:02.780Z,testdata/emojipaint1/,false,false,0,true,0.6,1712376602.8,10,10,0,9.0,100.0,0,2097,true,0,nan
full-prelude-4-2024-04-06T04:09:53.659Z,testdata/emojipaint1/,false,false,0,true,0.6,1712376593.7,10,10,0,8.4,100.0,0,2109,true,0,nan
full-prelude-4-2024-04-06T04:09:44.906Z,testdata/emojipaint1/,false,false,0,true,0.6,1712376584.9,10,10,0,8.0,100.0,0,2107,true,0,nan
full-prelude-4-2024-04-06T04:09:31.628Z,testdata/emojipaint1/,false,false,2,true,0.6,1712376571.7,10,10,0,12.4,100.0,0,2107,true,0,nan
