output-path,option-source_path,option-expected_type,option-relevant_ctx,option-error_rounds_max,option-temperature,start-time,tests-total,tests-pass,tests-indet,derived-time-elapsed,derived-percent-tests,derived-err-rounds-used,derived-total-tokens-used,derived-final-parses,derived-final-static-errors,derived-err-improve
more-rounds-1-2024-03-29T21:10:40.202Z,testdata/passwords2/,true,false,6,1.,1711746640.2,12,0,12,71.1,0.0,6,19215,true,1,-75.0
more-rounds-1-2024-03-29T21:10:16.167Z,testdata/passwords2/,true,false,6,1.,1711746616.2,12,1,11,23.1,8.3,2,5954,true,0,-100.0
more-rounds-1-2024-03-29T21:09:27.534Z,testdata/passwords2/,true,false,6,1.,1711746567.6,12,6,0,47.8,50.0,3,8955,true,0,-100.0
more-rounds-1-2024-03-29T21:04:43.852Z,testdata/passwords2/,true,false,6,1.,1711746283.9,12,0,12,298.1,0.0,6,30363,true,27,350.0
more-rounds-1-2024-03-29T21:08:35.688Z,testdata/passwords2/,true,false,6,1.,1711746515.7,12,5,4,50.9,41.7,6,16091,true,1,-75.0
more-rounds-1-2024-03-29T21:06:43.922Z,testdata/passwords2/,true,false,6,1.,1711746403.9,12,2,10,111.0,16.7,6,35416,true,5,-86.5
more-rounds-1-2024-03-29T21:03:05.858Z,testdata/passwords2/,true,false,6,1.,1711746185.9,12,0,12,97.2,0.0,6,21485,false,-1,-0.0
more-rounds-1-2024-03-29T21:02:37.462Z,testdata/passwords2/,true,false,6,1.,1711746157.5,12,6,0,27.7,50.0,2,6644,true,0,-100.0
more-rounds-1-2024-03-29T21:01:19.454Z,testdata/passwords2/,true,false,4,1.,1711746079.5,12,6,0,77.3,50.0,4,14388,true,0,-100.0
more-rounds-1-2024-03-29T21:00:45.912Z,testdata/passwords2/,true,false,4,1.,1711746045.9,12,6,0,32.9,50.0,3,9720,true,0,-100.0
more-rounds-1-2024-03-29T20:59:49.023Z,testdata/passwords2/,true,false,4,1.,1711745989.1,12,6,0,55.9,50.0,3,9394,true,0,-100.0
more-rounds-1-2024-03-29T20:59:30.088Z,testdata/passwords2/,true,false,4,1.,1711745970.1,12,6,0,17.8,50.0,1,3930,true,0,-100.0
more-rounds-1-2024-03-29T20:58:28.273Z,testdata/passwords2/,true,false,4,1.,1711745908.3,12,0,12,61.0,0.0,4,17515,true,2,-92.0
more-rounds-1-2024-03-29T20:58:09.998Z,testdata/passwords2/,true,false,4,1.,1711745890.0,12,6,0,17.6,50.0,2,6056,true,0,-100.0
more-rounds-1-2024-03-29T20:57:16.602Z,testdata/passwords2/,true,false,4,1.,1711745836.6,12,0,12,52.7,0.0,4,15498,true,28,600.0
more-rounds-1-2024-03-29T20:56:53.262Z,testdata/passwords2/,true,false,4,1.,1711745813.3,12,6,0,22.6,50.0,1,3923,true,0,-100.0
